(-4.037236341226855, 2.006863504237585)
(-4.111659873777471, 1.7287142505745476)
(-4.1940084198935565, 1.727169791741914)
(-4.137568923966747, 1.7286545770884643)
(-4.157796545786151, 1.7279382175112679)
(-4.172846970737163, 1.7275989183335922)
(-4.14149896657485, 1.7286260363378225)
(-4.156502602837005, 1.7279559896042158)
(-4.170443717283006, 1.7276171308620614)
(-4.16080627074673, 1.7278702474437821)
(-4.1646728508569195, 1.7277713673365112)
(-4.167015815689983, 1.7276865309026388)
(-4.161515536524808, 1.7278679256522205)
(-4.164374772696664, 1.727772922690013)
(-4.166654171463545, 1.7276929568391535)
(-4.893756407784296, 1.7262935206378016)
(-4.646601623380531, 1.7273367888123274)
(-4.669296031772551, 1.7285457281835532)
(-5.710010507546769, 1.7231027896938567)
(-4.750293581263768, 1.7291519486533407)
(-4.676115650167052, 1.728937803372766)
(-4.729196345409073, 1.728901096304575)
(-4.709006154253219, 1.728992719605048)
(-4.9722414145980895, 1.7288475940643064)
(-5.583254935054918, 1.7269221524969176)
(-4.799815342168602, 1.7307241458278197)
(-5.787055205096019, 1.7269890099137473)
(-5.111345483352363, 1.7304831684996957)
(-5.329461101428059, 1.7295183548015587)
(-5.577341578922081, 1.726710888031111)
(-5.155723995029026, 1.7315145756411352)
(-5.312867993761268, 1.7293084308810498)
(-5.533335508596437, 1.726688786241346)
(-5.38090372517017, 1.7287251445341818)
(-5.433155692185248, 1.7280600772807961)
(-5.4800562714110574, 1.727095020611792)
(-5.392250215517788, 1.7288284319842475)
(-5.429624389675934, 1.72802863765811)
(-5.472674164652393, 1.7271384327417076)
(-5.4434717907981245, 1.727786586605368)
(-5.453195542478585, 1.727586547697744)
(-5.462242011989181, 1.7272971809994915)
(-5.445315381858418, 1.7278002002477004)
(-5.454055782858087, 1.7276920809340048)
(-6.297382633414545, 1.726660129248852)
(-5.746804820010468, 1.7279065810469014)
(-5.92679356806486, 1.7277494809683065)
(-6.127471332824535, 1.7258701090297257)
(-5.86013147024757, 1.7287893709915134)
(-6.8226613495090085, 1.7254914105320727)
(-6.238359466878991, 1.727030135613995)
(-7.270240888264891, 1.724241268139347)
(-7.00898244990201, 1.7247628698996587)
(-6.590319470662305, 1.728352621573474)
(-7.2061383771863605, 1.7226353166029145)
(-7.027623794475807, 1.7249743649419298)
(-6.658944467916655, 1.7286617942861568)
(-6.90905592149839, 1.7257172193895196)
(-6.820177692764366, 1.726740357006244)
(-6.739633088035882, 1.728207405798018)
(-6.890894662951854, 1.7254976094025871)
(-6.8290460533533865, 1.7268001599926526)
(-7.595143318201973, 1.726141564050446)
(-7.080400402973166, 1.7274691012503494)
(-7.2366468042722065, 1.7271223635696658)
(-7.431794395070022, 1.7254522319203418)
(-7.1805360537068195, 1.7281414829468387)
(-8.131162921719977, 1.7248377084325333)
(-7.5553172427777255, 1.7264774530357845)
(-7.947239049877594, 1.7247710921028323)
(-7.834728771635922, 1.7252441901838351)
(-7.683122637022728, 1.7267513295315062)
(-7.924548610482884, 1.7241921715966457)
(-7.843694761790191, 1.7253407558786693)
(-7.708326887849305, 1.7268181571289598)
(-8.47214549273661, 1.7246515019078759)
(-8.260137528889173, 1.725323974974402)
(-8.193687034114372, 1.7277053808271925)
(-9.309573981588025, 1.7214214102203305)
(-8.377852420187136, 1.7272232453886907)
(-8.216065091112219, 1.7281104138663883)
(-8.324838739680805, 1.7274648168220188)
(-8.29104542596367, 1.7275806524257145)
(-8.520169280757441, 1.728127553816976)
(-9.187190520474275, 1.7253322920341172)
(-8.382275564029268, 1.7293838893801405)
(-9.342636165178485, 1.7262063592460224)
(-8.720671860369453, 1.7295029378455797)
(-8.888289835489612, 1.7286996842047346)
(-9.141750262789198, 1.7259149153853917)
(-8.762910561009589, 1.7303766275019186)
(-8.877820500957998, 1.7285860146554692)
(-9.096212368088063, 1.7259172052124356)
(-8.957908548819757, 1.727833536981714)
(-9.000404707193136, 1.7272869367772723)
(-9.049811837248484, 1.7262478209690286)
(-8.967645873752451, 1.7279376665896402)
(-8.997582736825397, 1.727266558628789)
(-9.041546210124025, 1.7263212070680427)
(-9.013288163657815, 1.72696612472023)
(-9.020509658921451, 1.7268181253123132)
(-9.032574263184593, 1.7264543551821903)
(-9.015075306633836, 1.7269800671903675)
(-9.020032551291342, 1.726818427892552)
(-9.030281548858573, 1.7264994862519778)
(-9.023913769367564, 1.7267041988241907)
(-9.025369269495457, 1.7266686701131302)
(-9.028356144530369, 1.7265449912244433)
(-9.024308050419048, 1.7267040382492296)
(-9.025275757867364, 1.7266695020532095)
(-9.027858363263583, 1.726560045221157)
(-9.02617596940518, 1.726633167743327)
(-9.026664769348656, 1.7266157807036628)
(-9.027388710108001, 1.7265765205338455)
(-9.026287071431916, 1.7266319430942865)
(-9.026627560135399, 1.726616609697084)
(-9.02726782412255, 1.726582439065118)
(-9.026861998362977, 1.7266048455445846)
(-9.026943917436876, 1.726601067472507)
(-9.027154253569291, 1.7265873288390725)
(-9.026886205454185, 1.7266045616789685)
